2026-08-11 11:32:26,347 - INFO - ==================================================
2026-08-11 11:32:26,347 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:32:26,348 - INFO - ==================================================
2026-08-11 11:32:26,351 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:32:27,806 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:32:27,847 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:32:32,256 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:32:32,257 - INFO - Procesando archivo maestro (hoja '2026')...
2026-08-11 11:32:32,390 - CRITICAL - ❌ Data preparation failed: 'Worksheet 2026 does not exist.'
2026-08-11 11:33:32,970 - INFO - ==================================================
2026-08-11 11:33:33,009 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:33:33,009 - INFO - ==================================================
2026-08-11 11:33:33,016 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:33:34,361 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:33:34,361 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:33:38,672 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:33:38,673 - INFO - Procesando archivo maestro (hoja '2026')...
2026-08-11 11:33:38,823 - INFO - ✅ Generado: PLANTILLA_000000024505_Assault_mask.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,826 - INFO - ✅ Generado: PLANTILLA_000000021292_Hockey_Killer.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,829 - INFO - ✅ Generado: PLANTILLA_000000022131_Apocalyptic_Mask.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,832 - INFO - ✅ Generado: PLANTILLA_000000021179_Brown_wolf.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,835 - INFO - ✅ Generado: PLANTILLA_000000021229_Brown_Dr._Peste.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,838 - INFO - ✅ Generado: PLANTILLA_000000021225_Crania_face.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,839 - INFO - ✅ Generado: PLANTILLA_000000021107_Jacko.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,843 - INFO - ✅ Generado: PLANTILLA_000000050122_Akasha.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,845 - INFO - ✅ Generado: PLANTILLA_000000050116_Alucard.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,846 - INFO - ✅ Generado: PLANTILLA_000000050118_Mr._Bones_Tan.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,848 - INFO - ✅ Generado: PLANTILLA_000000050117_Mr._Bones.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,849 - INFO - ✅ Generado: PLANTILLA_000000050120_Daffy.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,850 - INFO - ✅ Generado: PLANTILLA_000000050119_Soggy.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,852 - INFO - ✅ Generado: PLANTILLA_000000050121_Baba_Yaga.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,853 - INFO - ✅ Generado: PLANTILLA_000000350063__Rolan__Street_clown.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,855 - INFO - ✅ Generado: PLANTILLA_000000350064_Psychopathic_Clown.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:38,856 - INFO - ✅ Generado: PLANTILLA_000000350065_Rusty_the_Clown.csv (8 filas, 5 variables, col_G=8)
2026-08-11 11:33:38,861 - INFO - ✅ Generado: PLANTILLA_000000350061_Narmoga.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:38,863 - INFO - ✅ Generado: PLANTILLA_000000350062_Agnha.csv (7 filas, 4 variables, col_G=7)
2026-08-11 11:33:38,865 - INFO - ✅ Generado: PLANTILLA_000000350060_Nightstalker.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,867 - INFO - ✅ Generado: PLANTILLA_000000350059_Death_Walker.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,869 - INFO - ✅ Generado: PLANTILLA_000000030110_Night_Terror.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,870 - INFO - ✅ Generado: PLANTILLA_000000030111_Transplanted.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,871 - INFO - ✅ Generado: PLANTILLA_000000030109_Splitting_Headache.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,874 - INFO - ✅ Generado: PLANTILLA_000000030181_Camazotz.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,877 - INFO - ✅ Generado: PLANTILLA_000000030182_Silent_Death.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,880 - INFO - ✅ Generado: PLANTILLA_000000030180_Demon_Vampire.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,881 - INFO - ✅ Generado: PLANTILLA_000000030173_Pagliacci.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,883 - INFO - ✅ Generado: PLANTILLA_000000030116_Dusty_clown.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,884 - INFO - ✅ Generado: PLANTILLA_000000030166_Hellbell_clown.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:38,885 - INFO - ✅ Generado: PLANTILLA_000000030149_Fiery_clown.csv (3 filas, 0 variables, col_G=3)
